Rk.,Player,Year,HR,SO,BB,SLG
1," Bautista, Jose",2010,54,116,100,0.617
2," Fielder, Cecil",1990,51,182,90,0.592
3," Jones, Andruw",2005,51,112,64,0.575
4," Belle, Albert",1995,50,80,73,0.69
5," Sosa, Sammy",2000,50,168,91,0.634
6," Bonds, Barry",2000,49,77,117,0.688
7," Schmidt, Mike",1980,48,119,89,0.624
8," Rodriguez, Alex",2005,48,139,91,0.61
9," Glaus, Troy",2000,47,163,112,0.604
10," Bagwell, Jeff",2000,47,116,107,0.615
11," Ortiz, David",2005,47,124,102,0.604
12," Davis, Chris",2015,47,208,84,0.562
13," Lee, Derrek",2005,46,109,85,0.662
14," Ramirez, Manny",2005,45,119,80,0.594
15," Hidalgo, Richard",2000,44,110,56,0.636
16," Guerrero, Vladimir",2000,44,74,58,0.664
17," Cruz, Nelson",2015,44,164,59,0.566
18," Giambi, Jason",2000,43,96,137,0.647
19," Thomas, Frank",2000,43,94,112,0.625
20," Sheffield, Gary",2000,43,71,101,0.643
21," Teixeira, Mark",2005,43,124,72,0.575
22," Edmonds, Jim",2000,42,167,103,0.583
23," Helton, Todd",2000,42,61,103,0.698
24," Pujols, Albert",2010,42,76,103,0.596
25," Harper, Bryce",2015,42,131,124,0.649
26," Arenado, Nolan",2015,42,110,34,0.575
27," Jackson, Reggie",1980,41,122,83,0.597
28," Oglivie, Ben",1980,41,71,54,0.563
29," Rodriguez, Alex",2000,41,121,100,0.606
30," Justice, David",2000,41,91,77,0.584
31," Delgado, Carlos",2000,41,104,123,0.664
32," Batista, Tony",2000,41,121,35,0.519
33," Pujols, Albert",2005,41,65,97,0.609
34," Donaldson, Josh",2015,41,133,73,0.568
35," Trout, Mike",2015,41,158,92,0.59
36," Evans, Darrell",1985,40,85,85,0.519
37," Sandberg, Ryne",1990,40,84,50,0.559
38," Buhner, Jay",1995,40,120,60,0.566
39," Thomas, Frank",1995,40,74,136,0.606
40," Bichette, Dante",1995,40,96,22,0.62
41," Griffey Jr., Ken",2000,40,117,94,0.556
42," Konerko, Paul",2005,40,109,81,0.534
43," Dunn, Adam",2005,40,168,114,0.54
44," Pujols, Albert",2015,40,72,50,0.48
45," Bautista, Jose",2015,40,106,110,0.536
46," Gonzalez, Carlos",2015,40,133,46,0.54
47," McGwire, Mark",1990,39,116,110,0.489
48," Vaughn, Mo",1995,39,150,68,0.575
49," Palmeiro, Rafael",1995,39,65,62,0.583
50," Palmeiro, Rafael",2000,39,77,103,0.558
51," Sexson, Richie",2005,39,167,89,0.541
52," Konerko, Paul",2010,39,110,72,0.584
53," Encarnacion, Edwin",2015,39,98,77,0.557
54," Thomas, Gorman",1980,38,170,58,0.471
55," Ramirez, Manny",2000,38,117,86,0.697
56," Piazza, Mike",2000,38,69,58,0.614
57," Dunn, Adam",2010,38,199,77,0.536
58," Cabrera, Miguel",2010,38,95,89,0.622
59," Martinez, J.D.",2015,38,178,53,0.535
60," Fisk, Carlton",1985,37,81,52,0.488
61," Murphy, Dale",1985,37,141,90,0.539
62," Canseco, Jose",1990,37,158,72,0.543
63," Strawberry, Darryl",1990,37,110,70,0.518
64," Thome, Jim",2000,37,171,118,0.531
65," Martinez, Edgar",2000,37,95,96,0.579
66," Glaus, Troy",2005,37,145,84,0.522
67," Votto, Joey",2010,37,125,91,0.6
68," Ortiz, David",2015,37,95,77,0.553
69," Balboni, Steve",1985,36,166,52,0.477
70," Walker, Larry",1995,36,72,49,0.607
71," Sosa, Sammy",1995,36,134,58,0.5
72," Jones, Andruw",2000,36,100,59,0.541
73," Jones, Chipper",2000,36,64,95,0.566
74," Vaughn, Mo",2000,36,181,79,0.498
75," Soriano, Alfonso",2005,36,125,33,0.512
76," Ensberg, Morgan",2005,36,119,85,0.557
77," Armas, Tony",1980,35,128,29,0.5
78," Mattingly, Don",1985,35,41,56,0.567
79," Mitchell, Kevin",1990,35,87,58,0.544
80," McGriff, Fred",1990,35,108,94,0.53
81," Gaetti, Gary",1995,35,91,47,0.518
82," Finley, Steve",2000,35,87,65,0.544
83," Anderson, Garret",2000,35,87,24,0.519
84," Giles, Brian",2000,35,69,114,0.594
85," Griffey Jr., Ken",2005,35,93,54,0.576
86," Frazier, Todd",2015,35,137,44,0.498
87," Cespedes, Yoenis",2015,35,141,33,0.542
88," Machado, Manny",2015,35,111,70,0.502
89," Parker, Dave",1985,34,80,52,0.551
90," Salmon, Tim",1995,34,111,91,0.594
91," Salmon, Tim",2000,34,139,104,0.54
92," Everett, Carl",2000,34,113,52,0.587
93," Jenkins, Geoff",2000,34,135,33,0.588
94," Floyd, Cliff",2005,34,98,63,0.505
95," Sheffield, Gary",2005,34,76,78,0.512
96," Gonzalez, Carlos",2010,34,135,40,0.598
97," Murphy, Dale",1980,33,133,59,0.51
98," Schmidt, Mike",1985,33,117,87,0.532
99," Guerrero, Pedro",1985,33,68,83,0.577
100," Bonds, Barry",1990,33,83,93,0.565
101," Williams, Matt",1990,33,138,33,0.488
102," Bonds, Barry",1995,33,83,120,0.577
103," Edmonds, Jim",1995,33,130,51,0.536
104," Dye, Jermaine",2000,33,99,69,0.561
105," Kent, Jeff",2000,33,107,90,0.596
106," Hafner, Travis",2005,33,123,79,0.595
107," Cabrera, Miguel",2005,33,125,64,0.561
108," Delgado, Carlos",2005,33,121,72,0.582
109," Teixeira, Mark",2010,33,122,93,0.481
110," Uggla, Dan",2010,33,149,78,0.508
111," Rodriguez, Alex",2015,33,145,84,0.486
112," Goldschmidt, Paul",2015,33,151,118,0.57
113," Murray, Eddie",1980,32,71,54,0.519
114," Carter, Gary",1985,32,46,69,0.488
115," Thomas, Gorman",1985,32,126,84,0.45
116," Gant, Ron",1990,32,86,50,0.539
117," Bonilla, Bobby",1990,32,103,45,0.518
118," Castilla, Vinny",1995,32,87,30,0.564
119," Tettleton, Mickey",1995,32,110,107,0.51
120," Karros, Eric",1995,32,115,61,0.535
121," Piazza, Mike",1995,32,80,39,0.606
122," Ordonez, Magglio",2000,32,64,60,0.546
123," Fullmer, Brad",2000,32,68,30,0.558
124," Giambi, Jason",2005,32,109,108,0.535
125," Lee, Carlos",2005,32,87,57,0.487
126," Burrell, Pat",2005,32,160,99,0.504
127," Bay, Jason",2005,32,142,95,0.559
128," Guerrero, Vladimir",2005,32,48,61,0.565
129," Ortiz, David",2010,32,145,82,0.529
130," Hamilton, Josh",2010,32,95,43,0.633
131," Fielder, Prince",2010,32,138,114,0.471
132," Reynolds, Mark",2010,32,211,83,0.433
133," Murray, Eddie",1985,31,68,84,0.523
134," Gruber, Kelly",1990,31,94,48,0.512
135," Ramirez, Manny",1995,31,112,75,0.558
136," Martinez, Tino",1995,31,91,62,0.551
137," Galarraga, Andres",1995,31,146,32,0.511
138," Fielder, Cecil",1995,31,116,75,0.472
139," Nevin, Phil",2000,31,121,59,0.543
140," Karros, Eric",2000,31,122,63,0.459
141," Wilson, Preston",2000,31,187,55,0.486
142," Gonzalez, Luis",2000,31,85,78,0.544
143," Cruz, Jose",2000,31,129,71,0.466
144," Burnitz, Jeromy",2000,31,121,99,0.456
145," Ramirez, Aramis",2005,31,60,35,0.568
146," Dye, Jermaine",2005,31,99,39,0.512
147," Wells, Vernon",2010,31,84,50,0.515
148," Gonzalez, Adrian",2010,31,114,93,0.511
149," Howard, Ryan",2010,31,157,59,0.505
150," Hart, Corey",2010,31,140,45,0.525
151," Rizzo, Anthony",2015,31,105,78,0.512
152," Mayberry, John",1980,30,80,77,0.473
153," Kingman, Dave",1985,30,114,62,0.417
154," Brett, George",1985,30,49,103,0.585
155," Tejada, Miguel",2000,30,102,66,0.479
156," Alou, Moises",2000,30,45,52,0.623
157," Williams, Bernie",2000,30,84,71,0.566
158," Sexson, Richie",2000,30,159,59,0.499
159," Higginson, Bobby",2000,30,99,74,0.538
160," Rodriguez, Alex",2010,30,98,59,0.506
161," Abreu, Jose",2015,30,140,39,0.502
162," Carter, Gary",1980,29,78,58,0.486
163," Baker Jr., Dusty",1980,29,66,43,0.503
164," Evans, Dwight",1985,29,105,114,0.454
165," Gibson, Kirk",1985,29,137,71,0.518
166," Gant, Ron",1995,29,108,74,0.554
167," Martinez, Edgar",1995,29,87,116,0.628
168," Palmer, Dean",2000,29,146,66,0.471
169," Sweeney, Mike",2000,29,67,71,0.523
170," Edmonds, Jim",2005,29,139,91,0.533
171," Kent, Jeff",2005,29,85,72,0.512
172," Dellucci, David",2005,29,121,76,0.513
173," Guerrero, Vladimir",2010,29,60,35,0.496
174," Cano, Robinson",2010,29,77,57,0.534
175," Weeks Jr., Rickie",2010,29,184,76,0.464
176," Swisher, Nick",2010,29,139,58,0.511
177," Wright, David",2010,29,161,69,0.503
178," Votto, Joey",2015,29,135,143,0.541
179," Cey, Ron",1980,28,92,69,0.452
180," Bell, George",1985,28,90,43,0.479
181," Marshall, Mike",1985,28,137,37,0.515
182," Presley, Jim",1985,28,100,44,0.484
183," Young, Mike",1985,28,104,48,0.513
184," Parrish, Lance",1985,28,90,41,0.479
185," Henderson, Rickey",1990,28,60,97,0.577
186," Justice, David",1990,28,92,64,0.535
187," Sanders, Reggie",1995,28,122,69,0.579
188," Bonilla, Bobby",1995,28,79,54,0.576
189," Galarraga, Andres",2000,28,126,36,0.526
190," Posada, Jorge",2000,28,151,107,0.527
191," Lee, Derrek",2000,28,123,63,0.507
192," Vaughn, Greg",2000,28,128,80,0.499
193," Utley, Chase",2005,28,109,69,0.54
194," Wells, Vernon",2005,28,86,47,0.463
195," Cantu, Jorge",2005,28,83,19,0.497
196," Beltre, Adrian",2010,28,82,40,0.553
197," Pena, Carlos",2010,28,158,87,0.407
198," Holliday, Matt",2010,28,93,69,0.532
199," Kemp, Matt",2010,28,170,53,0.45
